Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
241,Activa_Te_Org,,1,26,27,1,26,27,2,0.608333,0.678082,707.150469,0
242,Sunflowerhostel,,3,963,966,3,963,966,2,0.921998,0.9577,90929.044275,7
243,glendapino,,1,296,297,1,296,297,1,1,1,25643.373521,2
244,ApplicantCoach,,2,2,4,2,2,4,1,1,1,132.352381,3
245,Spotahome,,1,281,282,1,281,282,1,1,1,17593.529243,2
246,Mayos_co,,2,130,132,2,130,132,1,1,1,15568.529113,6
247,Spain_inthe_Bag,,0,30,30,0,30,30,1,1,1,0,4
248,HolidayZgz,,3,350,353,3,350,353,3,0.600134,0.686264,71659.955789,2
249,Travel2Slovakia,,3,198,201,3,198,201,13,0.174113,0.211766,203667.456662,1
250,madeinsudgr,,1,9,10,1,9,10,3,0.361314,0.402357,806.726407,0
251,toldospatoldo,,1,4,5,1,4,5,1,1,1,432.066667,6
252,ESN_clujnapoca,,5,113,118,5,113,118,16,0.105488,0.118614,68231.025575,1
253,Campamento_EiS,,3,18,21,3,18,21,3,0.384212,0.405,14932.932572,4
254,room4exchange,,3,403,406,3,403,406,2,0.614164,0.685886,80719.890837,7
255,NuriBravodL,,0,365,365,0,365,365,1,1,1,0,2
256,mbe126,,3,11,14,3,11,14,11,0.165049,0.177604,278291.775472,0
257,AcierBleu,,0,1,1,0,1,1,1,1,1,0,1
258,_OnlytheHorses,,1,17,18,1,17,18,1,1,1,1026.15386,2
259,rafhippo89,,0,12,12,0,12,12,1,1,1,0,3
260,IntermobilP,,2,31,33,2,31,33,1,1,1,3088.329937,2
261,nicolatrlt,,1,1,2,1,1,2,1,1,1,0,1
262,mobiliariograna,,2,39,41,2,39,41,1,1,1,4939.373268,0
263,consulenzatech,,2,393,395,2,393,395,3,0.809359,0.907923,54153.606741,3
264,AndreaPietra3,,2,242,244,2,242,244,4,0.432773,0.523242,17916.465885,3
265,VuleticiNikolia,,1,9,10,1,9,10,1,1,1,369.166667,1
266,izletirizcom,,1,130,131,1,130,131,1,1,1,6121.11279,2
267,HostelMarina,,2,252,254,2,252,254,2,0.644495,0.724199,37384.282601,3
268,ESNUCLMAlbacete,,8,4,12,8,4,12,2,0.6,0.666667,480.996429,1
269,DarthRudo,,0,10,10,0,10,10,1,1,1,0,3
270,arif_najimov,,1,20,21,1,20,21,1,1,1,1042.266378,1
271,FREEtourPOLAND,,1,48,49,1,48,49,1,1,1,2726.679076,1
272,VeroNarduzzo,,2,24,26,2,24,26,3,0.520107,0.554124,14726.587271,5
273,davidphotiade,,3,167,170,3,167,170,2,0.627093,0.70267,21809.63469,8
274,LaVolaeraGR,,3,165,168,3,165,168,1,1,1,25541.358581,4
275,esnbochum,,4,10,14,4,10,14,1,1,1,905.074964,1
276,ESNUTAD,,4,4,8,4,4,8,1,1,1,286.882323,7
277,alealexzya,,2,1,3,2,1,3,1,1,1,0,3
278,youthhostel4you,,2,311,313,2,311,313,1,1,1,36974.911758,4
279,Puentedudu,,0,5,5,0,5,5,1,1,1,0,1
280,rosalopezy71,,1,55,56,1,55,56,14,0.131012,0.141339,451.585714,0
281,bougatfa_maryam,,2,14,16,2,14,16,1,1,1,1138.253175,8
282,fab_vd_m,,0,5174,5174,0,5174,5174,1,1,1,0,2
283,fastdreamgr,,0,27,27,0,27,27,1,1,1,0,6
284,esnmarmara,,7,6,13,7,6,13,1,1,1,454.492063,1
285,letudiantworld,,1,302,303,1,302,303,1,1,1,15338.007191,1
286,pedros_uzal,,0,20,20,0,20,20,1,1,1,0,5
287,esnleeds,,6,16,22,6,16,22,4,0.390879,0.448611,19670.685263,1
288,Limeet_fr,,1,86,87,1,86,87,1,1,1,4415.055173,7
289,alicepotier,,0,1,1,0,1,1,1,1,1,0,1
290,Aaron__Phillips,,1,40,41,1,40,41,1,1,1,776.84311,8
291,acs_nijmegen,,3,17,20,3,17,20,1,1,1,1271.828968,1
292,thaliejalabert,,2,48,50,2,48,50,2,0.98,0.989796,3374.929509,8
293,AssoEchangesESN,,3,17,20,3,17,20,1,1,1,3226.666667,8
294,MeetSpanish,,1,18,19,1,18,19,1,1,1,653.083333,1
295,Antperez90,,3,1053,1056,3,1053,1056,11,0.186214,0.210343,260832.374361,6
296,NativeEnglishNL,,1,17,18,1,17,18,1,1,1,711.431227,3
297,Ricardo00195426,,1,6,7,1,6,7,1,1,1,331.296032,7
298,StienstraA_,,1,10,11,1,10,11,1,1,1,255.133333,1
299,Kiara9_91,,1,3,4,1,3,4,1,1,1,106.174242,0
300,lloydanthony19,,4,144,148,4,144,148,1,1,1,19973.138492,2
301,Alav6,,0,1,1,0,1,1,1,1,1,0,1
302,chupiteria69,,1,33,34,1,33,34,3,0.518325,0.548822,2925.469014,6
303,Elisa_Ros,,2,1,3,2,1,3,1,1,1,0,1
304,ESN_Madeira,,6,1,7,6,1,7,1,1,1,0,1
305,davidiezgalindo,,0,1,1,0,1,1,1,1,1,0,1
306,rubenhurquijo,,1,53,54,1,53,54,1,1,1,3750.107576,2
307,esncukurova,,5,7,12,5,7,12,1,1,1,545.973052,1
308,eyerasmuse,,4,121,125,4,121,125,11,0.181486,0.203223,1183301.740014,1
309,everyDEYvlogs,,1,1,2,1,1,2,1,1,1,0,1
310,yvonnesalvi95,,1,8,9,1,8,9,1,1,1,244.895238,2
311,Bernina1930,,3,6,9,3,6,9,2,0.517045,0.532967,649.147062,0
312,CaterinaFiol,,0,35,35,0,35,35,1,1,1,0,0
313,Mundiroom,,0,3,3,0,3,3,1,1,1,0,2
314,ESN_TEDU,,7,6,13,7,6,13,1,1,1,427.976984,1
315,TnaZakura,,1,1,2,1,1,2,1,1,1,0,1
316,esnliverpool,,7,16,23,7,16,23,1,1,1,1924.728571,1
317,DianaRodas1988,,1,9,10,1,9,10,1,1,1,865.075,6
